"","draw","R0_em","R0_ep","G_em","G_ep","lambda_em","lambda_ep","pRep_em","pRep_ep","La_em","La_ep","matlifexp_em","matlifexp_ep","meanelexp_em","meanelexp_ep","entropyd_em","entropyd_ep","entropyk_em","entropyk_ep","gini_em","gini_ep","firstrepro_em","firstrepro_ep","longevity_em","longevity_ep","species"
"1969",NA,0.197328044127177,0.892920787757103,2.42965791628511,4.58698662916854,0.512759135112791,0.975611304111567,0.167047637580351,0.390231623560825,2,2,-0.78228830678801,0.0585185489811819,1.21771169321199,2.05851854898118,0.964293463433692,1.9446946003248,0.384536741546307,0.914692381288697,0,0,2.68370724085392,2.37105644698757,3,11,"FESU"
"1970",NA,0.161380730673881,0.28598582489788,2.73185969984424,3.72824034653249,0.51290071812741,0.714790982849754,0.201728055860537,0.200056092140881,2,2,-0.726479172494293,-0.663056517850581,1.27352082750571,1.33694348214942,1.24793580692918,1.58029332587475,0.445218547909938,0.54448678162993,0,0,3.08059502316826,2.35881606308168,4,5,"FESU"
"1971",NA,0.110298923855093,0.213421696210265,3.91389754788401,3.3109557431226,0.569347164723744,0.627207925736371,0.324957249998299,0.212792583912897,2,2,-0.374503962206652,-0.637289499274179,1.62549603779335,1.36271050072582,1.63531535002067,1.53687671621311,0.661673216750648,0.56039570445518,0,0,3.03533049014291,2.65317633212271,6,5,"FESU"
"1972",NA,0.147262230667799,0.231096373886175,3.25633424443667,5.24412683391082,0.555297903242814,0.756278964741763,0.267080886602928,0.343686512709451,2,2,-0.584005059882837,-0.141726402882478,1.41599494011716,1.85827359711752,1.33686248383319,2.2473177979452,0.551380187595201,0.868912575188277,0,0,3.08159228549499,3.13095491407452,5,10,"FESU"
"1973",NA,0.04183036969675,0.245087494018887,2.52914878012591,4.4372004960651,0.285070106925031,0.728405040288967,0.168486075215801,0.33850073212326,2,2,-0.791405665657714,-0.218017007593691,1.20859433434229,1.78198299240631,0.87775661981166,2.01101956606792,0.363809409372792,0.795085287012713,0,0,3.12107284731041,2.73063742951822,3,8,"FESU"
"1974",NA,0.0948050250370321,0.324984882445148,4.28299967618641,5.66955270322412,0.576911683848755,0.820166552643476,0.385159591153684,0.420527546635001,2,2,-0.28117054870591,0.343320320180692,1.71882945129409,2.34332032018069,1.82443140827447,2.38511363941373,0.665241088464366,0.963412883615423,0,0,2.80838825788393,2.29817033767808,7,12,"FESU"
"1975",NA,0.166642051558479,0.183929235535449,2.77628747808705,3.11461297402013,0.524435485140027,0.580635381085671,0.174224415590199,0.189470472244403,2,2,-0.766897174936206,-0.706448720257728,1.23310282506379,1.29355127974227,1.2952542893451,1.30740723665945,0.412123021452863,0.484559868575457,0,0,2.54087362897943,2.48382560476233,4,4,"FESU"
"1976",NA,0.46054969858308,0.120872610889566,4.70077010909426,3.698118093198,0.847946476117877,0.56474747991184,0.396933143101449,0.200820705832792,2,2,-0.15818630341398,-0.679864910500504,1.84181369658602,1.3201350894995,1.90695669766057,1.53125857757331,0.766674689926177,0.524479832779038,0,0,2.90268120974892,2.60145005257987,9,5,"FESU"
"1977",NA,0.272628466936252,0.184349571120973,5.1842143000413,3.05250183541025,0.778261395880781,0.57467759604895,0.384049418070883,0.179280993924099,2,2,-0.248053942449274,-0.719373486080282,1.75194605755073,1.28062651391972,1.80205897914969,1.27237185255666,0.713775334055236,0.48345985067177,0,0,2.62965278514983,2.90196067996001,8,4,"FESU"
"1978",NA,0.20810908256297,0.256138581098405,2.6683247258755,3.21171828720315,0.555287618104869,0.654369256848774,0.170295269441744,0.22148859878905,2,2,-0.760717226769349,-0.62769666474906,1.23928277323065,1.37230333525094,1.2681452694686,1.55138178958323,0.43109699882018,0.559752105897105,0,0,2.74848913799454,2.68811541221848,4,5,"FESU"
